,gender,age,emotion,base,rewriting,semantic
0,男性,18-39,悲伤,这是由特别事件引起的吗？,,0
1,女性,40-69,悲伤,这是由特别事件引起的吗？,,0
3,女性,18-39,悲伤,这是由特别事件引起的吗？,,0
6,男性,40-69,悲伤,这是由特别事件引起的吗？,,0
50,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
52,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
54,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
55,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
97,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
98,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
100,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
103,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
145,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
146,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
148,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
151,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
193,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
194,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
196,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
199,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
243,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
244,女性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
246,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
249,男性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
293,女性,18-39,悲伤,您认为您应该成为别人的救星吗？,,6
294,女性,40-69,悲伤,您认为您应该成为别人的救星吗？,,6
295,男性,18-39,悲伤,您认为您应该成为别人的救星吗？,,6
297,男性,40-69,悲伤,您认为您应该成为别人的救星吗？,,6
341,女性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
342,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
343,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
345,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
389,女性,18-39,悲伤,您觉得您在试图控制某人吗？,,8
390,女性,40-69,悲伤,您觉得您在试图控制某人吗？,,8
391,男性,18-39,悲伤,您觉得您在试图控制某人吗？,,8
393,男性,40-69,悲伤,您觉得您在试图控制某人吗？,,8
436,女性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
437,女性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
438,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
440,男性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
485,女性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
486,女性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
487,男性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
488,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
532,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
533,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
534,男性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
536,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
581,男性,18-39,愤怒,这是由特别事件引起的吗？,,0
583,女性,40-69,愤怒,这是由特别事件引起的吗？,,0
584,男性,40-69,愤怒,这是由特别事件引起的吗？,,0
585,女性,18-39,愤怒,这是由特别事件引起的吗？,,0
625,男性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
627,女性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
628,男性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
629,女性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
669,男性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
671,女性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
672,男性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
676,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
711,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
713,女性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
714,男性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
718,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
753,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
756,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
757,男性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
758,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
798,男性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
800,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
801,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
805,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
840,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,,6
841,女性,40-69,愤怒,您认为您应该成为别人的救星吗？,,6
842,男性,18-39,愤怒,您认为您应该成为别人的救星吗？,,6
844,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,,6
884,女性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
885,女性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
886,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
888,男性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
927,女性,18-39,愤怒,您觉得您在试图控制某人吗？,,8
928,女性,40-69,愤怒,您觉得您在试图控制某人吗？,,8
929,男性,18-39,愤怒,您觉得您在试图控制某人吗？,,8
931,男性,40-69,愤怒,您觉得您在试图控制某人吗？,,8
970,女性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,,9
971,女性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,,9
972,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,,9
974,男性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,,9
1015,女性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,,10
1016,女性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,,10
1017,男性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,,10
1019,男性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,,10
1059,女性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1060,女性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1061,男性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1063,男性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1101,女性,18-39,焦虑,这是由特别事件引起的吗？,,0
1102,男性,18-39,焦虑,这是由特别事件引起的吗？,,0
1103,女性,40-69,焦虑,这是由特别事件引起的吗？,,0
1105,男性,40-69,焦虑,这是由特别事件引起的吗？,,0
1150,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
1151,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
1152,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
1154,男性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
1200,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
1201,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
1202,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
1204,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
1249,女性,18-39,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
1250,男性,18-39,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
1251,女性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
1253,男性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
1298,女性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,,4
1299,男性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,,4
1300,女性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,,4
1302,男性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,,4
1348,女性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,,5
1349,男性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,,5
1350,女性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,,5
1352,男性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,,5
1398,女性,18-39,焦虑,您认为您应该成为别人的救星吗？,,6
1400,男性,40-69,焦虑,您认为您应该成为别人的救星吗？,,6
1401,女性,40-69,焦虑,您认为您应该成为别人的救星吗？,,6
1402,男性,18-39,焦虑,您认为您应该成为别人的救星吗？,,6
1448,女性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
1450,男性,40-69,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
1451,女性,40-69,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
1452,男性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
1498,女性,18-39,焦虑,您觉得您在试图控制某人吗？,,8
1500,男性,40-69,焦虑,您觉得您在试图控制某人吗？,,8
1501,女性,40-69,焦虑,您觉得您在试图控制某人吗？,,8
1502,男性,18-39,焦虑,您觉得您在试图控制某人吗？,,8
1548,女性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,,9
1550,男性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,,9
1551,女性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,,9
1552,男性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,,9
1598,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,,10
1600,男性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,,10
1601,女性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,,10
1602,男性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,,10
1648,女性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1650,男性,40-69,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1651,女性,40-69,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1652,男性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
1698,女性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,,12
1700,男性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,,12
1701,女性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,,12
1702,男性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,,12
1747,女性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,,13
1749,男性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,,13
1750,女性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,,13
1751,男性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,,13
1797,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,,14
1799,男性,40-69,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,,14
1800,女性,40-69,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,,14
1801,男性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,,14
1847,女性,18-39,所有情绪,感谢您的参与。再见,,15
1849,男性,40-69,所有情绪,感谢您的参与。再见,,15
1850,女性,40-69,所有情绪,感谢您的参与。再见,,15
1851,男性,18-39,所有情绪,感谢您的参与。再见,,15
1897,女性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,,16
1898,男性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,,16
1899,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,,16
1901,男性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,,16
1946,女性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,,17
1947,男性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,,17
1948,女性,40-69,所有情绪,请现在尝试通过此协议。完成后，按“继续”,,17
1950,男性,40-69,所有情绪,请现在尝试通过此协议。完成后，按“继续”,,17
1995,女性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,,18
1996,男性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,,18
1997,女性,40-69,所有情绪,采取此协议后，您感觉更好还是更糟？,,18
1999,男性,40-69,所有情绪,采取此协议后，您感觉更好还是更糟？,,18
2044,女性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,,19
2045,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,,19
2046,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,,19
2048,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,,19
2094,女性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,,19
2095,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,,19
2096,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,,19
2098,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,,19
