,emotion,base,rewriting
0,悲伤,这是由特别事件引起的吗？,
50,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,
97,悲伤,你最近是否尝试过练习6，并发现由于旧事件而重新点燃了无法控制的情绪？,
145,悲伤,你最近是否尝试过练习11，并发现由于旧事件而重新点燃了无法控制的情绪？,
193,悲伤,谢谢。现在我会问一些问题以了解你的情况。,
243,悲伤,你是否对某人有强烈的感受或表达以下任何情绪：,
293,悲伤,你认为你应该成为别人的救星吗？,
341,悲伤,你是否将自己视为受害者，将自己的负面情绪归咎于他人？,
389,悲伤,你觉得你在试图控制某人吗？,
436,悲伤,当出现问题时，你是否总是责怪和指责自己？,
485,悲伤,在之前的对话中，你是否考虑过其他提出的观点？,
532,悲伤,你是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
581,愤怒,这是由特别事件引起的吗？,
625,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,
669,愤怒,你最近是否尝试过练习6，并发现由于旧事件而重新点燃了无法控制的情绪？,
711,愤怒,你最近是否尝试过练习11，并发现由于旧事件而重新点燃了无法控制的情绪？,
753,愤怒,谢谢。现在我会问一些问题以了解你的情况。,
798,愤怒,你是否对某人有强烈的感受或表达以下任何情绪：,
840,愤怒,你认为你应该成为别人的救星吗？,
884,愤怒,你是否将自己视为受害者，将自己的负面情绪归咎于他人？,
927,愤怒,你觉得你在试图控制某人吗？,
970,愤怒,当出现问题时，你是否总是责怪和指责自己？,
1015,愤怒,在之前的对话中，你是否考虑过其他提出的观点？,
1059,愤怒,你是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1101,焦虑,这是由特别事件引起的吗？,
1150,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,
1200,焦虑,你最近是否尝试过练习6，并发现由于旧事件而重新点燃了无法控制的情绪？,
1249,焦虑,你最近是否尝试过练习11，并发现由于旧事件而重新点燃了无法控制的情绪？,
1298,焦虑,谢谢。现在我会问一些问题以了解你的情况。,
1348,焦虑,你是否对某人有强烈的感受或表达以下任何情绪：,
1398,焦虑,你认为你应该成为别人的救星吗？,
1448,焦虑,你是否将自己视为受害者，将自己的负面情绪归咎于他人？,
1498,焦虑,你觉得你在试图控制某人吗？,
1548,焦虑,当出现问题时，你是否总是责怪和指责自己？,
1598,焦虑,在之前的对话中，你是否考虑过其他提出的观点？,
1648,焦虑,你是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1698,快乐,那很好！让我推荐一个你可以尝试的练习。,
1747,所有情绪,根据你所说的，我相信你正在感受{}。这个对吗？,
1797,所有情绪,我很抱歉。请从下面的情绪中选择最能反映你感受的情绪：,
1847,所有情绪,感谢你的参与。再见,
1897,所有情绪,这是我的建议，请选择你想尝试的练习,
1946,所有情绪,请现在尝试通过此练习。完成后，按“继续”,
1995,所有情绪,采取此练习后，你感觉更好还是更糟？,
2044,所有情绪,你想尝试另一种练习吗？ （病人感觉好多了）,
2094,所有情绪,你想尝试另一种练习吗？ （病人感觉更糟）,