性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
女性,40-49,我今天很伤心，似乎什么都不对。,我失去了所爱的人，从那以后我就没有真正感到快乐。,我真的很沮丧，我感到沮丧，没有动力。,,,,,,,请问您是否相信将他人从问题中解救出来是您自己的责任？,非常感谢您的回答。我现在想问你，你是否认为自己是这种情况的受害者，而你的痛苦感觉应该归咎于其他人。,再次感谢，这对我的理解很有帮助。可能是你试图控制或操纵别人做你想让他们做的事情？,我明白了，谢谢你花时间回答这个问题。请问您是否觉得自己有一种总是将问题归咎于自己的倾向？,你是说在之前的谈话中，你总是倾听别人的观点，花时间仔细考虑他们的观点吗？,感谢您到目前为止的回答。请问您现在是否觉得自己正在经历个人危机，或者您是否正在与周围的人遇到难以处理的人际关系困难？,我现在很生气，我不敢相信我被当成了傻子。,我真的，真的很生气。我觉得我可以炸了。,我对我的伴侣对我撒谎感到生气。,,,,,,,如果我问，在这种情况下，您是否觉得自己是在努力拯救或拯救其他人？,谢谢您的回答。我现在想问你，你是否觉得自己是受害者，让你有这种感觉应该怪别人。,再次感谢您帮助我了解情况。您是否有可能试图控制或操纵生活中的其他人？,我明白了，谢谢你的耐心。如果可能的话，我想知道您是否认为每当发生不好的事情时，您可能总是倾向于责备自己。,你会说你在之前的谈话中一直考虑其他观点，充分考虑其他人的意见和建议，而不是让他们闭嘴吗？,如果我问，您是否觉得您与朋友、家人或亲人遇到了难以控制的困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我今天好难过。,我感觉有点虚弱和沮丧。,我没有太多精力去做任何事情。,,,,,,,感谢您迄今为止的合作。请问您是否觉得有必要将生活中的其他人从他们自己的问题中解救出来？,我明白了，谢谢。您是否觉得自己是其他人行为的受害者？,谢谢你。你会说，也许你正试图控制别人，让他们做你想让他们做的事，或者说你想听的话？,谢谢，我明白了。你是否觉得你总是为你面临的问题责备自己？,感谢您的信任，请帮助我更好地理解。你是说，在之前的谈话中，你一直愿意听取别人的看法和意见吗？,谢谢你。我想知道您是否因为与朋友或家人的问题而正在经历特别困难的时刻。,我今天很生气。,我恨这个国家！,我对这里的情况很生气，我真的很讨厌职业政治家。,,,,,,,我可以先问你，你是否觉得有责任拯救你生命中的其他人？,我明白了，谢谢。在这种情况下，您是否可能将自己视为受害者？,我明白了，谢谢。控制行为呢？你有没有向其他人展示过这些？,我明白了，谢谢你到目前为止的回答。如果我问，你觉得你是那种一出事就总是自责的人吗？,再次感谢您今天的耐心等待。我想知道您是否真的相信，您在之前的讨论中一直仔细考虑其他人的观点。,谢谢你对我敞开心扉，我想帮助你放下消极的想法。是否因为与家人或亲人的问题，您现在正在经历一段特殊的痛苦？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,50-59,不好，我感到孤独,我很无聊，我一个人在家,疫情让我蒙受了损失,,,,,,,,,,,,,滚蛋,我想让我为了杀他而自杀的朋友起死回生,我讨厌我的女孩,,,,,,,谢谢你，你做得很好。如果我问你，你发现自己在努力拯救你周围的人吗？,我看到有些事情困扰着你。你觉得有人在伤害你吗？,再次感谢您的合作。我可以问一下，您是否对某个人感到如此负责，以至于您可能试图控制他们？,你是不是总觉得自己摸到的东西都坏掉了，犯错总是过分自责？,请问在日常生活中，您是否会认真倾听朋友的意见，而不总是有提出自己愿景的冲动？,我知道这对你来说不是一个好时机，也许还有更重要的事情发生。您是否正在经历个人危机，面临涉及生活中其他人的无法处理的问题？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我很难过,我感到孤独,我情绪低落,,,,,,,你觉得你应该成为别人的救世主吗？,感谢您分享这个。你能告诉我你是否认为自己是受害者，把你的负面情绪归咎于别人吗？,谢谢你让我知道这件事。你能告诉我你是否觉得你在试图控制某人吗？,感谢您分享这个。你能告诉我你是否觉得当事情出错时你总是在责备和指责自己吗？,你能告诉我你是否觉得你通常能够考虑和学习别人的观点？,感谢您的耐心等待，我真的很感激。你能告诉我，你是否觉得在你生命中的这一刻正在经历个人危机，在工作或家庭中遇到严重的困难？,我不好,我感到有压力,我累了,,,,,,,你能告诉我你是否想拯救别人、朋友或所爱的人吗？,你能告诉我你是否认为自己是一个受害者，把你的负面情绪归咎于别人吗？,你能不能看看你自己，告诉我你是否觉得你在试图控制某人？,当出现问题时，您是否觉得自己总是在责备和指责自己？,老实说，您能否告诉我，在之前的对话中，您是否真的考虑过其他观点和观点？,你觉得你现在可能正在经历个人危机吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,空是轻描淡写,今天是我想成为钉在墙上的钉子的日子之一。然后就站在那里,比平时更没用,,,,,,,谢谢，现在我想问你一个简单的问题，以便我能更好地理解。拯救别人会让你快乐吗？,,,您是否总是仔细考虑负面事件并想知道如果事情变得不同会发生什么？,你认为自己是一个思想开放、喜欢听别人意见的人吗？,如果你有一根魔杖，现在有没有人会从你的生活中消除，以便感觉更好？,我有更好的日子,你有奖金问题吗？,比昨天更糟,,,,,,,我想问你，即使是自费帮助别人，你是否是天生的？,,有时我们会后悔自己的生活没有始终处于掌控之中，并因此试图控制他人。你觉得你可能试图控制某人吗？,如果我告诉你，你可能对自己太苛刻了，你会同意吗？,你认为自己是一个能够真正倾听他人意见的人吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,60-69,我感到沮丧和悲伤,我被悲伤淹没,我感到悲伤和沮丧,,,,,,,你觉得你必须照顾其他人吗？,也许，您现在是否觉得世界与您为敌？,下面的问题可能感觉有点直接，但请尽量诚实地回答。你会说你现在觉得有必要控制某人或某事吗？,想想你过去对自己的感觉，你会说你觉得一切都是你的错吗？,你会说你善于从不同的角度看情况吗？,感谢您如此耐心和合作。如果你不介意，我希望你告诉我你是否觉得你此刻正在挣扎。,我对我的老板很生气，因为他总是冲我大喊大叫,我生自己的气，因为我不能减肥，也没有自制力,我很生气，因为生活太不公平了,,,,,,,你通常觉得要为别人的感受负责吗？,,,谢谢你。当事情出错时，你是否觉得总是你的错？,我想知道从另一个角度来看这个是否有用，你有没有尝试过？,你是否觉得你现在生活中有无法解决的问题？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,60-69,今天心情真的很低落,我感觉像一块湿抹布,我一点都不舒服……我完全心灰意冷,,,,,,,您现在的心情是否取决于您无法帮助所爱的人这一事实，您是否因此而感到内疚？,我明白。在这种情况下，其他人是否是问题所在，也许是您亲近的人对待您的方式？,我明白了，也许你的悲伤可能是因为无法从别人那里得到你需要或期望的东西。可能是您试图控制某人但无法控制，这让您感到沮丧？,当您无法实现目标时，您是否总是倾向于责备自己，即使责任实际上应该归咎于其他人？,您是否曾尝试从外部看自己，并通过更广阔的镜头看周围的世界，而不受任何偏见的影响？,我知道这可能很艰难，所以感谢您如此耐心地回答所有问题。您最近是否经历过强烈的情绪压力，或者您是否感到被朋友或亲人误解？,今天我觉得自己很糟糕！,我对全世界都很生气！,看，如果可以的话，我会打破一切，包括这台该死的电脑！,,,,,,,让我们试着了解是否有更深层次的事情让你感到这种愤怒。最近有没有发生什么事情，你是否对某个人感到内疚，也许……一个你无法帮助的人？,谢谢，那么我们需要在别处寻找导致您负面情绪的原因。是其他人让您有这种感觉，例如您的家人或工作中的某个人吗？,我想知道您的愤怒是否部分是由于缺乏控制和对它的渴望引起的。您是否感到无法但又想控制所爱的人或工作中的某个人？,即使后果并不直接取决于您自己的行为，您是否总是对周围发生的一切负责？,作为一种习惯，你会说你热衷于考虑除你自己之外的其他观点吗？,您与朋友和亲人的关系如何，您最近是否发现难以与他们建立联系？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,刚过，最近没太多精力做事,我很高兴你问这个问题，因为我最近真的很糟糕。我想我很沮丧。,好吧，我该从哪里开始呢。我很难过，我很难打字。,,,,,,,我想了解一下您如何看待自己在社交圈中的角色。你是否经常觉得救人是你的工作，或者别人希望你这样？,没关系，谢谢你让我知道。有没有人因为你的悲伤而特别责备谁？,会不会是为了改善自己的处境并让自己感觉更好，您正在尝试控制生活中的其他人？,谢谢你让我知道。你会不会说你很容易自责，经常因为出了问题而责备自己？,您会认为自己是一个很容易听取他人观点和意见的人吗？,我想知道你的悲伤是否可以在更广泛的问题上解决。您在生活中是否遇到任何重大问题，例如，您是否与所爱的人闹翻了？,我对我的老板很生气，她总是那么苛刻，根本不考虑人们的心理健康,我对我的伴侣在房子周围无所事事感到生气,我工作，我做饭，我打扫卫生，他们还想让我做什么！,,,,,,,谢谢你和我分享这个。为了我能更好地帮助你，你能告诉我，你是否一直觉得生活中比平时更需要帮助别人，或者拯救他们是你的责任？,好的，谢谢你让我知道。也许您已经陷入一种心态，将自己视为受害者，而其他人是肇事者？,当我们觉得自己的生活很少或没有时，我们可能会渴望控制。可能是你希望或试图控制你生活中的某个人？,好的，感谢您回答这个问题，还有任何内疚或有罪的感觉。每当出现问题时，您是否倾向于觉得自己有错？,谢谢你，这有助于我更好地了解你。你相信你是一个能够听取别人建议并付诸实践的人吗？,你知道，我想知道这种愤怒是否有更深的根源。您的生活中是否有任何重大事件、危机或与您关心的人发生重大关系？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,感觉空虚，吃不下睡不着,自从他离开我我真的不想再活了,我不能再这样下去了，太痛苦了,,,,,,,是否有可能因为无法拯救生活中需要拯救的人而导致您的悲伤？,我同情你现在所经历的悲伤。我想知道，在你的生活中，有没有人让你觉得应该为你的悲伤负责？,你的悲伤会导致你对某人变得操纵吗？是否可能是您试图让某人做或说某事以让自己感觉更好？,嗯，我明白了，谢谢你花时间回答所有这些问题，我仍在努力找出最好的帮助方式。你会说当出现问题时，你有把矛头指向自己的倾向吗？,谢谢你。如果你不介意，我想知道你是否认为自己是一个思想开放的人，能够不加评判地倾听别人的意见。,你的悲伤是否与一些更大的问题有关，比如你和你所爱的人之间的人际关系危机？,一切都很糟糕，我讨厌我的生活,哦，甚至不要让我开始！,我现在很生气我会打人,,,,,,,让我们试着找出让你感到这种愤怒的更深层次的原因。可能是因为您无法将生活中的某个人从他们自己的问题中解救出来而感到沮丧吗？,我明白了，那么受害的感觉呢，这些有时会让我们对这个世界感到愤怒。你觉得别人在伤害你或利用你吗？,好的，谢谢你，那我们需要去别的地方看看你为什么会有这种感觉。可能是你有控制你认识的人的言行的愿望，但这种愿望让你感到沮丧？,嗯，那么也许你内心深处觉得这是你造成的。你是否总是为自己的错误或失败而责备自己，不管你对它们负有多大的责任？,您是否觉得自己通常能够走出自我，以全新的眼光看待情况？,我想知道你的愤怒是否会被隐藏在表面之下的更大的东西触发。您最近在个人生活或职业生活中是否遇到了非凡的困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,不好，我认为什么都不会改变。,非常难过，我今天没有精力。,所以，我今天的心情很阴郁。,,,,,,,你相信你可以通过帮助别人来帮助自己吗？,你有没有觉得别人要为你现在的感受负责？,你认为你可能拥有或渴望影响他人的力量吗？,当出现问题时，您是否总是感到有责任感？,在过去的谈话中，你是否总是考虑到别人的意见，即使他们与你看待世界和自己的方式相去甚远？,您是否会将您生命中的这一刻描述为一个紧张而复杂的时刻，您、您的人际关系和情感都受到了强烈挑战？,不好，我今天过得很糟糕。,沮丧，我很生气，我不知道为什么。,好吧，但我觉得很烦。,,,,,,,如果您与您现在的感受联系在一起，是否需要感觉对某人有用？,你认为有人会对你现在的感受负责吗？,谢谢你，那么你控制或影响他人的能力呢？您是否觉得自己已经或需要对他人产生影响？,你是否总是觉得自己是发生在你身上的困难或麻烦的主要责任人？,在之前的谈话中，您是否考虑并考虑过向您提出的任何其他观点？,你认为你的人际关系可能有困难，难以与他人交流感情或爱吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我今天很伤心，因为我和我的伴侣吵架了,我今天感到很沮丧，因为我今天收到了一位客户的不愉快评论,最近我失去了我的祖父，我感到很沮丧,,,,,,,在回答以下问题之前，请尝试仔细考虑您最近的过去。最近，您是否觉得自己有责任拯救周围的人，以牺牲自己为代价来帮助他们克服问题？,感谢您的回答，让我们看看是否还有其他事情困扰着您。你觉得最近有人虐待你或伤害你吗？,谢谢你的回答，我一直在这里理解和帮助你，从不评判。你有没有可能试图掌控别人的生活？,没关系，谢谢。您是否认为您最近总是在为某事责备自己？,有时，只要我们能够倾听，其他人也许能够帮助我们弄清楚情况并变得更强大。你认为自己是一个好的倾听者吗？,您现在是否有可能正在经历一些特别困难的事情，这对您的生活产生了灾难性的影响？,我开始想我哥哥什么时候离开并生气,我今天很生气,这一刻我无法控制自己,,,,,,,在回答这个问题之前，请试着仔细想想你最近的过去。最近，您是否觉得自己有责任拯救周围的人，以牺牲自己为代价来帮助他们克服问题？,感谢您的回答，让我们看看是否还有其他事情困扰着您。你觉得最近有人虐待你或伤害你吗？,我明白。你有没有可能试图掌控别人的生活？你可以老实告诉我，我是来帮忙的，不是来评判的。,没关系，谢谢。您是否认为您最近总是在为某事责备自己？,有时，只要我们能够倾听，其他人也许能够帮助我们弄清楚情况并变得更强大。你认为自己是一个好的倾听者吗？,您现在是否有可能正在经历一些特别困难的事情，这对您的生活产生了灾难性的影响？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我很痛苦，我已经好几个星期没能让自己做任何事情了。,真的很低，我发现大多数日子都很难起床。,所以，目前似乎没有什么能让我开心。,,,,,,,您是否经常发现自己扮演了一个好撒玛利亚人的角色，您正在努力帮助甚至纠正他人为自己的利益？,你是否发现别人经常为你周围的错误负责？,您是否发现自己花费了大量精力试图改变周围人的行为和行为？,当发生错误或事情没有按计划进行时，您是否经常自己承担？,在与他人交谈时，您是否觉得在形成自己的观点和意见时允许自己接受不同的观点和意见？,您现在在个人生活中是否正在经历任何困难或创伤？,真的很生气！我的老板根本不尊重我的时间！,被惹毛了！交通是一场噩梦，有人把我拦住了，我差点撞上他们！,我压力好大！我整整一周都没有时间独处！,,,,,,,你认为你的行为是出于拯救或帮助某人的愿望吗？,你的感受是别人行为的结果吗？在这种情况下，您认为自己是受害者吗？,您是否有可能试图改变或影响他人的行为？,当您周围出现问题时，您是否发现自己总是或经常将自己定位为该受责备的人？,在您的日常互动中，您是否经常发现当出现不同的观点时，您愿意改变主意？,你现在在你的个人生活（例如你的爱情生活，或与朋友或家人）中是否遇到任何困难或戏剧性的问题？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,心情低落，男朋友跟我分手了,感觉自己在坑底：刚丢了工作,我感到很孤独，因为我的朋友不会参加我的生日聚会。,,,,,,,你觉得多帮助别人可以改善你自己的情况吗？,你认为你情绪低落是别人的错吗？,你觉得如果别人改变了他们的行为方式，你的生活会更轻松吗？,你是否总是觉得你应该做更多的事情来防止糟糕的情况发生？,别人的意见对你有价值吗？,这些天您在与朋友或家人的关系上有困难吗？,我感到压力很大，我对我的男朋友很生气，因为他总是迟到而不提前通知我。,我很生气，因为我的狗在我外出工作时撕毁了我最喜欢的沙发。,我很生气，我刚刚发现我的丈夫和一个同事在欺骗我。,,,,,,,您是否觉得即使他们犯错，为他人提供支持并支持他们对您来说非常重要？,您是否觉得其他人经常表现不佳或对您不尊重？,您是否觉得自己在尝试改变其他人的行为方式上付出了太多努力？,当出现问题时，你是否总是觉得你可以做得更多或不同？,我明白了，谢谢。当您进行对话时，您通常会征求其他人的意见和反馈吗？,这些天您是否遇到困难或与他人相处有困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感觉很焦虑，我在等那个工作项目的回音,我其实很担心这个结果，我不敢再问了,实际上不是很好，对此感到有些焦虑,我很抱歉听到这个。有没有发生过让你有这种感觉的事情？,这很难。那是最近发生的还是不久前发生的？无论哪种方式，您的感受都是完全有效的。,我想知道，您是否认为尝试使用协议 6 来重温事件，如果您这样做了，可能会导致这种感觉吗？,我想知道，您是否认为尝试使用协议 11 重新审视该事件（如果您这样做了）可能会导致这种感觉？,我很感激你觉得很舒服与我分享。您是否愿意分享更多信息以便我可以提供帮助？,您认为您最近是否有过以下情绪：,,,,,,,我很好谢谢！,今天心情很好，睡得很好！,做得好谢谢,,,,,我在这里有一些可能会有所帮助的选项。请选择您现在要查看的协议。,花点时间通读一遍以理解，如果可以，请尝试通读整件事。完成后只需点击“继续”按钮。,你感觉更好还是更糟？,听起来还不错。会做更多的帮助吗？,我很抱歉听到这个。我们应该尝试另一个吗？
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,因为明天要考试所以我感到紧张,我很担心，因为我没有做作业,我感到害怕，因为我不确定我将来想要什么职业,作为你的朋友，你可以随时告诉我任何事情，我会尽我所能帮助你。你能告诉我是否发生了让你有这种感觉的事情吗？,我明白。你能告诉我这个事件的时间，以便我进一步了解是什么让你感到焦虑，是最近的还是遥远的？,我知道这件事让你很痛苦。你最近有没有重温这个事件，试图找到它的结局，但它所做的只是把你在事件中无法忍受的情绪带回来？,我知道这件事让你很痛苦。你最近有没有重温这个事件，试图找到它的结局，但它所做的只是把你在事件中无法忍受的情绪带回来？,谢谢您，您的健康状况对我来说非常重要。我现在会问一些关于你自己的问题，希望能减轻这种痛苦。,我知道您正在经历一个艰难的时刻，我相信深入了解这些情绪的本质将帮助我了解最好的方法，以帮助摆脱您的痛苦。您是否曾经对一个人或多个人感到或表达过以下任何情绪：,,,,,,,我感觉很好，因为我刚刚发现我通过了考试,我感到很高兴，因为我进入了我梦想中的大学,我的足球队赢得了世界杯，我感到很满足,,,,,我会给你一些协议建议，但决定必须来自你，因为你最了解自己。您能否选择您认为最适合您的协议？,我建议你现在就尝试这个协议，这可能很困难，但只要尽力而为，就会好的。完成协议后，按“继续”按钮，然后我们可以讨论一下，如果您愿意的话。,我知道执行协议可能很困难且要求很高。你现在感觉如何，你会说你感觉更好还是更糟？,这真是个好消息！您想尝试不同的协议吗？,好吧，那很不幸，我道歉。有许多不同的协议可供选择，那么您想尝试另一种协议吗？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,说实话，我真的很担心事情。,感觉现在的生活有点压倒性的。,我总是忍不住感到害怕。,我了解您感到焦虑。请你能告诉我更多关于这个吗？焦虑是由一个或多个特定事件引起的吗？,我知道了。你介意告诉我这是最近发生的还是过去发生的？,您可能知道，协议 6 可用于检查此类事件。您有使用协议 6 的经验吗？而且，如果是这样，您是否发现它使与过去事件相关的困难情绪浮出水面？,您可能知道，协议 11 可用于检查此类事件。您有使用协议 6 的经验吗？而且，如果是这样，您是否发现它使与过去事件相关的困难情绪浮出水面？,非常感谢你与我分享这个，我知道这不是一件容易的事。如果您能接受，我还想再问您一些问题，以便我更好地了解您的情况。,你告诉我你一直感到焦虑，现在我想更广泛地询问你的情绪状态。下面的情绪怎么样，你有没有强烈地感受过这些情绪，或者向别人表达过这些情绪：,,,,,,,我觉得这个世界好像一切都很好。,一点也不差。,对我来说一切都很顺利。,,,,,根据您与我分享的内容，我认为这些建议适合您。请您告诉我您想尝试哪些协议？,感谢您的选择，您现在应该可以看到协议了；请看看你是如何处理它的。完成后，您可以按“继续”。,感谢您完成协议。你会说你感觉比以前更好还是更糟？,听起来还不错。您想尝试其他协议吗？,我很抱歉听到这个消息。您想尝试其他协议吗？
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我不知道，你为什么要问我？谁让你问我的？,嗯，不太好，嗯，我真的很担心发生了什么，我整个星期都没睡觉。,我今天过得不好，你能帮帮我吗？请帮帮我，你会帮我吗？,我听到了你的感受。为了支持你，你能告诉我是否有一个特定的事件引起了你的感受？,好的谢谢。你能告诉我这是最近发生的事情，还是前一段时间？,您最近是否通过协议 6 重新审视了该事件的创伤，这就是您现在感到焦虑的原因吗？,您最近是否通过协议 11 重新审视了该事件的创伤，这就是您现在感到焦虑的原因吗？,谢谢你，到目前为止你真的很勇敢地分享。我想看看我是否可以通过问你几个问题来了解你的感受和这些感受的原因来支持你，你可以吗？,为了帮助您，请您指出您是否对他人有以下任何情绪：,,,,,,,杰出的！我度过了最美好的一天！！,一切都很好，谢谢，没有抱怨！,是的，很好，谢谢。,,,,,因此，根据我们所讨论的内容，我有以下建议供您选择。请选择您现在要尝试的协议。,谢谢你。现在我希望您通读并遵循协议，完成后按“继续”。,谢谢你，欢迎回来。现在你已经完成了，你感觉如何？,这是非常积极的。你想试试另一个吗？,好的，我知道你的感受了。我可以提出不同的建议供您尝试吗？
男性,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到非常焦虑，而且一点也不舒服。,我的心情真的很低落，实际上很害怕。,我今天的心理健康一点都不好,我了解您可能感到焦虑，如果您能提供更多详细信息，我愿意帮助您。认为这可能与任何特定事件有关吗？,谢谢，这可能有助于我知道发生这种情况的时间。你能告诉我，这是最近发生的还是遥远的事件？,有时它可以帮助通过协议 6 解决与过去的创伤事件相关的焦虑。你是否已经尝试过协议 6，如果是的话，你是否真的发现它带来的情绪过于强烈？,有时它可以帮助通过协议 11 解决与过去的创伤事件相关的焦虑。你是否已经尝试过协议 11，如果是的话，你是否真的发现它带来的情绪过于强烈？,我知道这对您来说可能很难讨论，但您的信息非常有用，谢谢。如果我继续问你一些问题，以便我更清楚地了解你的情况，可以吗？,我会给你一个情绪清单。我希望你考虑一下，然后告诉我你是否对其中的任何一个有强烈的感受或对某个人表达过其中的任何一个：,,,,,,,其实我感觉真的很棒。,我觉得很积极,我感觉在世界之巅,,,,,在我们的讨论之后，我列出了我想向您推荐的协议。您是否乐意查看它们并选择您可能会考虑尝试的协议？,感谢您选择此协议。您现在愿意尝试此协议吗？完成后，请您按“继续”按钮。,非常感谢您接受本协议。完成后，您最初的感受是什么，您感觉好些了还是更糟了？,我真的很高兴这个协议让你感觉好多了。你认为如果你尝试另一种协议会有帮助吗？如果是这样，您现在想尝试另一个吗？,很抱歉，这并没有让您感觉好些，有时可能需要尝试不同的协议才能感觉好些。你想尝试另一种希望对你更有帮助的吗？
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我很抱歉听到这个。是否有特定的事件让您有这种感觉？,感谢您分享这个。在不详细介绍的情况下，这个事件是最近发生的还是已经有一段时间了？,你最近是否通过协议 6 重新审视了这个事件，并发现它带回了焦虑的感觉和情绪？,你最近是否通过协议 11 重新审视了这个事件，并发现它带回了焦虑的感觉和情绪？,感谢您分享这些细节，我知道这对您来说一定很困难。现在我想问一些问题，以便更好地了解您的情况。,我理解你感到焦虑。除了这种感觉，您最近是否也对某人有以下任何一种情绪：,,,,,,,绝对精彩！,非常感谢您的提问！,我感觉非常好，充满希望。,,,,,我有一些您可以尝试的推荐协议。你现在有什么想尝试的吗？如果是，请选择它。,谢谢，现在您可以尝试通过您选择的协议。当您完成后，如果您能回到我身边并按“继续”，我将不胜感激。,执行此协议后，您现在感觉如何，您感觉更好还是更糟？,这真是个好消息。如果您愿意，我们可以尝试另一种协议。,我很抱歉听到这个。如果您想尝试另一个协议，我们可以尝试其他协议？
女性,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感觉很紧张。我有一个大测试，我担心我不会通过。,我应该和朋友出去，但我觉得太紧张了。我不喜欢和一大群人在一起,今天，我的心仿佛在狂奔。我感觉不太好，我想我只需要一个人待着。,感受到您的感受是完全正常的，我理解并愿意提供帮助。您认为这是由什么特定原因引起的吗？,我很抱歉这件事发生在你身上。这是最近发生的还是不久前发生的？,感到焦虑和完全可以理解是可以的。我只需要知道您最近是否试图回忆过去的事件并发现它令人痛苦？,感到焦虑和完全可以理解是可以的。我只需要知道您最近是否试图回忆过去的事件并发现它令人痛苦？,你做得很好，我想帮助你感觉更好，并试着了解你的情况。可以多问一些问题吗？,我完全理解你的感受，这一定很难。如果我可以问，你是否觉得你已经向某人表达了以下任何情绪：,,,,,,,我很好！这是美好的一天！,我真高兴。我现在拥有我想要的一切。,我心情这么好。我觉得今天很幸运,,,,,我认为您可以从这些协议中的任何一个中受益，让您感觉自己是最好的自己。请告诉我您想尝试哪一种。,我认为这对你有好处，我是来帮忙的。请尝试现在完成此操作，完成后，按“继续”。,你在这方面做得很好。接受这个协议后你感觉如何？,我很高兴你感觉好多了，我觉得这很棒！您想尝试其他协议吗？,我很抱歉你感觉更糟。也许我们应该坐下来尝试另一种可能对您更有益的协议？
